epoch,train_loss,val_loss
0,0.427168256151999,0.25753847394306234
1,0.22537262431358024,0.18018792949118023
2,0.15057000067970577,0.14459820673213178
3,0.11192006729132194,0.12570598197264676
4,0.08892985623154262,0.11557281271653694
5,0.07338582057741246,0.10572844249749419
6,0.06183747798129692,0.10075139851359452
7,0.05361371726141411,0.09655320116049895
8,0.046990607471888136,0.09102083310795668
9,0.041659169691197255,0.0884450913481537
10,0.037064386548524876,0.08536793134542249
11,0.033413823372651724,0.08566287655943573
12,0.03065087984586013,0.08471413772516402
13,0.028080231851058356,0.08334421556193533
14,0.02541688966229483,0.08372155021217731
15,0.02350668893303113,0.0834736896047019
16,0.021975596821161666,0.08260560665038362
17,0.020503510299737498,0.0816907093591342
18,0.019074766813527974,0.08037800077271252
19,0.017912398640780057,0.08047655776846421
20,0.017014681822139256,0.08143126349957532
21,0.01615328237660969,0.08063836449309447
22,0.015170165740230019,0.08126314629674875
23,0.014282671902833157,0.08106351831496482
24,0.013536582647663062,0.08031506616004735
25,0.012868071070226767,0.08111777139825564
26,0.012405492996828726,0.08062103340805035
27,0.011920131753229628,0.0817624938139604
28,0.011344475638954606,0.0807812144626116
29,0.010947869417099739,0.0814961100203669
30,0.01049864446275392,0.08247628964230205
31,0.01021451166099537,0.08165798952514725
32,0.009826593770792216,0.08187991383962914
33,0.009389758558426362,0.08198044695262721
34,0.008937661043754073,0.08115519175119902
35,0.00862816564361364,0.08172935107160609
36,0.008346063789230591,0.08121611766770695
37,0.008132043267518969,0.08096114157174604
38,0.007923359133549775,0.08062436058708394
39,0.007624256684292582,0.082585329012015
40,0.007313926954573411,0.08144972731822409
41,0.0071786096279388865,0.08267837127365998
42,0.006898267184353341,0.08193902199439762
43,0.006765162021130951,0.08343325332870337
44,0.006724776107903827,0.08364121244175504
45,0.0065894811091909075,0.08336167509793319
46,0.006279139126554774,0.08210579396259249
47,0.006123778355142537,0.08244001260180636
48,0.005971990121246401,0.08227735658459423
49,0.00593743891499137,0.08321720091002441
50,0.005828406984956119,0.08269887094914455
51,0.005688167088398842,0.0825229101005684
52,0.005489979641289715,0.08300403273704285
53,0.005442207209287639,0.08240207929151903
54,0.005368044168324982,0.08298060589937165
55,0.005109170011320378,0.08303448587705092
56,0.005122426461051017,0.08368388290233852
57,0.004968397015726256,0.0835399487383999
58,0.004819222644191897,0.08260230302123678
59,0.00485504280174209,0.08302357418689586
60,0.004900550083028398,0.08277532744142671
61,0.004740647651692301,0.08371216786205442
62,0.004623356140746456,0.08355628683525174
63,0.004566018451416236,0.08340703513632752
64,0.004455077931296114,0.08327529658732116
65,0.004384606020616642,0.08343309848993591
66,0.004226032495050277,0.08385705090364039
67,0.004176426297772971,0.08311186788519834
68,0.004175082375010552,0.08420319603725401
69,0.004107077620034232,0.08401718123536864
70,0.004085382962750725,0.08381726120063947
71,0.004046692646509307,0.08419479158605754
72,0.003953495235233722,0.0841254699284172
73,0.003949150077367169,0.08447811171477895
74,0.003930570645521254,0.08503694897752692
75,0.00393097726917763,0.08445733653138157
76,0.0037579993867299473,0.08407090201924844
77,0.003751457934132371,0.08527737431857903
78,0.003672152791740214,0.08496621999844631
79,0.003569654066212767,0.08491029325386042
80,0.0035581595865484617,0.08486005156807004
81,0.00355068285185414,0.08498377172208905
82,0.0034762833901721174,0.08502470202228764
83,0.0035234291481046585,0.08486444695671748
84,0.003470557843640432,0.08551983246998912
85,0.003514513504152432,0.08677404096225352
86,0.003423101578838189,0.08662007895884084
87,0.003346588839977651,0.0862576798029841
88,0.0033761014680330497,0.08599274936740406
89,0.0032732733747190463,0.08495524481069767
90,0.0032866073533175224,0.08654413360419441
91,0.003251132298421597,0.08642466328261189
92,0.003202630751770935,0.08641656200707155
93,0.0031544395573922957,0.08633187870391769
94,0.003140100857117769,0.08749085431254001
95,0.003153806559763916,0.08696048466323104
96,0.003160288795378571,0.08744030951243201
97,0.0031051557039825195,0.08652706510509016
98,0.0030698906275310155,0.0868543644857917
99,0.0030394020820094445,0.08709471877643882
100,0.0030872937160616024,0.08685819719203479
101,0.0029770649718298178,0.08625784472579752
102,0.0029043285949146348,0.08680250273626931
103,0.0028585080963950847,0.08707425611259255
104,0.0029254632697458434,0.0862137894917987
105,0.002956269183284869,0.08760015936374141
106,0.002925193257893295,0.08669744481861133
107,0.002941233792305815,0.08728239439125249
108,0.002899200771584987,0.08758839987766337
109,0.002856930766166856,0.08683399789844988
110,0.0027941434864616143,0.08732245529620498
111,0.002728215853824703,0.08698837031762634
112,0.002720917933998833,0.08764172299191536
113,0.002769967680049681,0.08894926303860647
114,0.002794945313396267,0.0889935908362711
115,0.0027456431499698246,0.08755065133932131
116,0.002632481319719595,0.08838345141494575
117,0.002578134103439965,0.08775161096312997
118,0.0026332942344838664,0.08886587123348737
119,0.0025994043746811815,0.08876192280623968
